employee_id,hire_date,work_satisfaction,life_satisfaction,work_life_balance
E0001,2016-07-30,4.37,5,4.32
E0002,2018-01-15,4.81,4.66,3.85
E0003,2018-09-06,3.54,3.11,4.84
E0004,2019-06-19,3.4,4.77,4.16
E0005,2019-07-19,4.44,3.26,3.65
E0006,2022-04-24,3.24,3.96,4.44
E0007,2017-06-11,4.96,4.44,4.67
E0008,2018-02-26,4.29,3.87,3.95
E0009,2022-04-04,3.14,3.91,2.13
E0010,2017-01-04,4.18,4.08,5
E0011,2018-02-15,4.05,4.26,3.47
E0012,2020-11-02,2.77,4.25,3.76
E0013,2019-06-09,3.98,2.96,5
E0014,2017-08-23,3.71,3.89,2.67
E0015,2019-05-10,3.56,4.17,3.23
E0016,2019-01-18,4.12,4.35,3.48
E0017,2019-12-26,4.43,3.81,3.08
E0018,2020-03-13,4.86,3.58,4.77
E0019,2020-10-04,2.68,3.18,4.89
E0020,2016-03-19,4.37,3.56,4.35
E0021,2018-06-21,3.52,3.93,3.69
E0022,2019-10-03,4.58,3.62,3.7
E0023,2021-06-02,4.17,4.36,3.6
E0024,2020-08-08,4.72,4.22,3.63
E0025,2017-06-20,3.26,3.03,4.34
E0026,2016-01-18,4.25,4.19,4.64
E0027,2018-09-19,4.15,4.33,3.68
E0028,2017-01-05,4.52,3.84,4.22
E0029,2020-07-20,3.88,3.98,2.33
E0030,2016-10-01,4.57,3.74,4.05
E0031,2016-06-12,3.78,3.82,3.39
E0032,2020-07-09,3.79,3.4,4.77
E0033,2020-05-25,4.01,4.26,4.83
E0034,2021-09-11,3.47,3.27,2.46
E0035,2020-11-10,3.77,3.65,4.65
E0036,2021-07-16,4.56,3.45,3.6
E0037,2016-09-25,4.83,3.48,3.89
E0038,2021-11-16,4.56,3.78,4.63
E0039,2016-02-01,3.79,3.71,4.48
E0040,2018-02-10,4.16,3.58,3.43
E0041,2017-12-29,4.05,3.85,4.22
E0042,2016-08-27,3.37,3.05,3.67
E0043,2021-07-03,4.13,4.07,4.88
E0044,2019-08-23,3.59,4.38,2.9
E0045,2019-09-17,3.47,3.23,4.57
E0046,2019-07-01,4.36,3.15,4.97
E0047,2017-01-02,3.65,5,2.17
E0048,2017-01-06,3.93,4.14,4.45
E0049,2020-11-28,3.51,4.03,3.75
E0050,2021-02-05,4.03,3.88,4.08
E0051,2019-09-05,4.25,4.3,3.81
E0052,2017-06-26,4.25,4.02,4.48
E0053,2018-12-18,3.46,3.67,4.65
E0054,2017-11-16,4.63,3.74,4.42
E0055,2018-01-30,4.75,3.79,3.93
E0056,2019-03-13,4.19,3.81,3.7
E0057,2016-08-09,4.08,3.55,3.9
E0058,2016-10-21,4.04,4.64,3.84
E0059,2017-09-27,4.13,4.06,4.14
E0060,2017-09-03,4.19,3.54,3.42
E0061,2017-08-08,4.07,4.35,4.41
E0062,2018-01-02,4.33,4.21,3.3
E0063,2020-06-23,3.83,3.92,2.96
E0064,2022-06-01,4.56,4.24,4.18
E0065,2016-11-26,3.98,3.46,4.29
E0066,2019-03-09,3.12,3.88,4.72
E0067,2022-06-16,3.95,3.4,4.51
E0068,2020-04-13,4.22,3.29,4.15
E0069,2019-05-03,4.62,3.8,4.48
E0070,2018-10-22,4.03,4.1,3.31
E0071,2020-10-01,3.03,3.45,3.2
E0072,2018-01-04,4,3.89,3.15
E0073,2021-07-10,3.4,2.9,4.03
E0074,2020-09-11,3.51,3.73,4.46
E0075,2021-01-14,3.49,4.7,4.63
E0076,2019-06-25,3.6,3.31,5
E0077,2017-08-05,4.57,3.28,4.23
E0078,2021-11-07,3.58,3.87,3.91
E0079,2020-09-20,3.78,4.32,3.54
E0080,2017-05-20,4.09,4.74,4.18
E0081,2020-09-09,4.45,5,3.95
E0082,2022-04-08,3.67,4.48,3.77
E0083,2016-09-28,3.59,4.4,3.53
E0084,2017-02-11,3.74,5,3.3
E0085,2021-04-04,3.41,3.82,3.31
E0086,2022-09-03,4.46,3.87,5
E0087,2017-12-07,2.91,4.15,4.18
E0088,2021-02-04,3.74,3.15,3.7
E0089,2016-05-02,3.28,2.9,2.89
E0090,2020-08-06,3.02,5,4.14
E0091,2021-09-12,4.01,3.66,3.65
E0092,2022-11-09,4.77,3.73,3.94
E0093,2020-09-29,4.82,3.4,3.85
E0094,2020-12-19,3.72,4.09,4.54
E0095,2021-12-16,3.65,4.35,3.95
E0096,2020-05-22,3.73,3.86,3.88
E0097,2021-04-30,4.36,4.01,5
E0098,2020-04-27,2.72,4.57,4.76
E0099,2021-07-23,4.12,3.99,4.09
E0100,2018-07-04,3.8,3.66,3.49
E0101,2022-06-25,3.63,3.96,4.83
E0102,2018-04-21,3,3.49,3.35
E0103,2020-02-24,3.9,4.06,3.97
E0104,2020-09-16,3.18,3.46,4.6
E0105,2019-09-06,3.99,4.84,3.71
E0106,2019-12-17,3.55,2.51,3.74
E0107,2020-08-01,4.02,4.24,4.31
E0108,2018-10-10,4.23,3.71,4.1
E0109,2019-08-01,3.75,5,3.83
E0110,2019-05-27,3.49,3.86,3.85
E0111,2018-01-23,3.69,4.29,4.18
E0112,2016-03-09,3.67,4.23,4.33
E0113,2022-03-11,3.25,4.15,4.91
E0114,2019-04-12,3.61,4.31,3.71
E0115,2018-03-22,3.9,5,4.92
E0116,2019-03-29,3.89,4.56,2.97
E0117,2022-10-16,4.16,4.12,3.55
E0118,2022-09-10,4.65,5,3.05
E0119,2019-10-11,4.17,4.35,4.22
E0120,2021-08-10,4.74,4.39,4.29
E0121,2020-12-07,3.68,4.75,3.04
E0122,2019-04-06,4.68,4.1,4.03
E0123,2018-12-07,4.3,4.44,3.36
E0124,2021-04-16,3.4,3.84,4.35
E0125,2020-04-01,4.2,4.07,2.91
E0126,2021-03-16,3.38,4.02,4.61
E0127,2021-12-26,4.47,3.62,3.97
E0128,2016-08-28,3.73,5,3.27
E0129,2020-10-03,3.88,3.66,3.94
E0130,2021-01-15,3.66,3.79,3.81
E0131,2019-03-11,3.57,4.79,3.74
E0132,2016-08-11,4.85,3.99,2.95
E0133,2016-09-12,4.5,4.7,3.59
E0134,2016-05-11,4.34,3.64,3.88
E0135,2016-11-10,4.04,3.99,2.96
E0136,2022-11-03,4.37,3.85,4.21
E0137,2021-09-21,4.33,3.42,4.96
E0138,2021-09-05,4.8,3.82,4.55
E0139,2019-06-05,4.43,3.61,3.44
E0140,2018-01-14,3.9,4.51,3.54
E0141,2019-06-18,3.89,3.83,3.67
E0142,2021-02-10,3.77,3.95,4.42
E0143,2019-07-12,3.82,3.5,3.97
E0144,2019-11-24,3.88,4.13,3.34
E0145,2018-03-06,4.61,3.03,2.94
E0146,2021-10-25,2.84,2.23,4.39
E0147,2018-08-24,3.65,5,3.27
E0148,2020-03-27,3.93,4.45,4.35
E0149,2022-07-19,3.36,4.38,4.05
E0150,2020-12-16,4.81,2.66,4.51
E0151,2020-11-19,3.88,4.41,4.77
E0152,2022-10-19,3.44,4.31,3
E0153,2018-06-30,3.55,3.95,4.72
E0154,2018-02-21,4.44,4.5,4.48
E0155,2020-10-18,4.93,4.67,3.78
E0156,2022-08-29,3.94,3.93,3.99
E0157,2018-07-14,4.05,5,4.34
E0158,2016-12-27,3.53,4.59,4.46
E0159,2017-06-08,4.66,4.73,2.8
E0160,2020-06-24,4.36,3.81,5
E0161,2016-10-13,2.84,3.92,3.01
E0162,2020-11-07,3.68,3.45,2.54
E0163,2016-04-18,3.88,4.24,4.67
E0164,2018-04-24,3.45,4.16,2.94
E0165,2017-12-19,3.86,4.05,3.84
E0166,2019-07-09,3.43,3.59,3.06
E0167,2016-07-11,4.18,3.86,2.74
E0168,2021-10-22,4.17,5,3.69
E0169,2022-08-17,4.41,3.44,4.45
E0170,2020-04-04,4.21,3.76,4.22
E0171,2020-01-29,4.8,3.16,3.55
E0172,2019-03-12,3.81,3.26,3.99
E0173,2017-04-18,2.92,3.83,3.93
E0174,2017-07-04,4.01,3.77,3.98
E0175,2021-02-22,4.32,3.63,3.69
E0176,2021-01-26,3.8,3.54,4.25
E0177,2019-07-22,4.7,3.88,3.24
E0178,2019-12-15,4.55,4.68,4.26
E0179,2018-04-01,4.27,3.79,3.76
E0180,2016-09-19,4.03,3.23,3.77
E0181,2022-03-17,3.72,3.36,4.49
E0182,2021-08-14,3.91,2.8,3.7
E0183,2016-05-31,4.23,2.97,3.31
E0184,2016-04-25,4.48,3.55,3.16
E0185,2018-03-14,3.85,3.41,4.47
E0186,2016-01-27,3.64,3.31,2.37
E0187,2022-02-16,5,5,3.71
E0188,2019-07-23,4.26,5,4.13
E0189,2019-11-17,3.55,5,3.04
E0190,2021-10-17,4.47,4.47,4
E0191,2022-11-28,4.03,3.9,4.47
E0192,2021-09-30,4.41,3.37,2.72
E0193,2018-05-24,4.03,3.34,3.38
E0194,2017-05-27,3.97,3.7,5
E0195,2019-02-06,4.05,4.77,3.54
E0196,2018-05-31,4.21,4.4,3.32
E0197,2021-10-08,3.69,4.53,3.4
E0198,2019-12-18,3.67,3.89,3.7
E0199,2020-11-23,3.91,3.07,4.13
E0200,2017-01-08,4.09,4.2,3.51
E0201,2017-03-02,3.84,3.87,4.14
E0202,2019-03-14,4.16,3.82,4.49
E0203,2022-12-27,3.45,5,4.24
E0204,2016-09-20,3.28,4.52,4.52
E0205,2022-02-22,4.95,3.86,3.44
E0206,2020-09-18,4.2,2.86,3.91
E0207,2020-06-18,3.8,3.83,4.47
E0208,2022-04-05,3.86,4.59,4.04
E0209,2019-12-01,4.39,4.22,4.15
E0210,2017-06-10,3.89,4.16,4.04
E0211,2016-10-23,4.1,4.63,4.13
E0212,2021-06-21,3.87,3.9,3.98
E0213,2021-06-30,3.75,3.79,3.23
E0214,2019-09-14,4.3,3.85,4.12
E0215,2017-12-14,4.07,4.44,3.68
E0216,2016-08-21,4.65,3.84,5
E0217,2017-11-05,3.44,4.46,3.63
E0218,2019-01-10,3.93,3.26,4.11
E0219,2017-12-01,3.9,3.24,2.62
E0220,2018-12-04,3.46,4.08,3.54
E0221,2017-11-01,4.5,4.46,3.42
E0222,2018-11-14,3.95,3.76,4.86
E0223,2019-05-11,3.31,3.65,3.89
E0224,2021-07-18,3.7,2.3,4.1
E0225,2021-03-27,3.45,4.22,4.21
E0226,2020-11-14,4.52,3.46,3.63
E0227,2018-06-08,5,4.24,4.21
E0228,2020-10-28,3.66,4.86,5
E0229,2019-12-14,3.95,3.7,4.43
E0230,2020-12-06,4.14,4.42,4.5
E0231,2020-05-16,5,3.91,3.42
E0232,2018-07-01,2.84,4.22,4.13
E0233,2017-04-06,3.74,3.31,4.21
E0234,2017-10-04,3.4,4.25,3.54
E0235,2016-06-28,3.89,4.78,4.08
E0236,2018-04-25,3.86,5,5
E0237,2016-04-22,3.64,3.29,3.32
E0238,2019-10-12,4.92,4.32,4.39
E0239,2021-09-08,4.13,3.7,3.25
E0240,2016-07-24,5,4.31,4.25
E0241,2022-07-29,4.41,3.89,3.27
E0242,2018-02-17,3.37,3.85,4.41
E0243,2020-03-16,3.62,4.41,3.11
E0244,2018-04-20,4.14,4.45,4.01
E0245,2021-10-07,3.71,4.17,4.94
E0246,2017-03-11,4.18,4.28,3.84
E0247,2017-03-03,4.37,4.23,3.93
E0248,2019-11-30,4.21,4.17,4.98
E0249,2021-05-14,3.93,4.05,5
E0250,2018-05-11,3.68,4.55,5
E0251,2021-08-24,3.36,4.43,3.72
E0252,2019-11-16,4.17,4.48,3.26
E0253,2021-03-13,4.46,4.66,4.46
E0254,2016-08-26,3.96,4.33,4.3
E0255,2019-06-08,4.38,3.91,4.9
E0256,2016-11-13,5,3.35,4.11
E0257,2016-05-30,4.97,3.71,4.11
E0258,2018-03-09,3.75,3.48,5
E0259,2017-05-10,4.27,3.82,4.11
E0260,2021-07-25,3.65,3.68,4.48
E0261,2022-12-16,4.34,3.88,4.34
E0262,2018-07-24,3.97,3.39,3.97
E0263,2021-08-12,4.14,3.63,3.63
E0264,2020-08-10,3.57,4.21,3.76
E0265,2016-05-23,4.6,4.13,2.64
E0266,2020-06-14,3.96,3.76,4.89
E0267,2020-10-09,3.78,4.61,2.88
E0268,2022-04-15,3.96,3.02,3.59
E0269,2021-02-15,4.04,4.29,3.74
E0270,2017-02-18,4.82,4.94,4.84
E0271,2021-08-26,3.44,3.76,4.04
E0272,2017-07-31,5,4.23,4.66
E0273,2018-02-20,3.61,3.67,3.79
E0274,2020-10-25,4.09,3.99,5
E0275,2020-07-19,2.97,4.49,4.34
E0276,2021-09-19,3.67,3.45,4.38
E0277,2018-11-13,4.37,3.67,4.61
E0278,2019-02-24,4.25,4.32,2.96
E0279,2017-06-24,4.21,4.25,3.99
E0280,2019-07-24,3.77,4.48,4.15
E0281,2021-02-25,3.08,4.75,3.46
E0282,2022-09-12,3.46,4.46,4.01
E0283,2019-03-07,3.89,3.35,3.5
E0284,2018-08-05,4.31,4.09,4.15
E0285,2019-01-26,4.42,3.76,2.75
E0286,2022-08-20,3.85,4,4.2
E0287,2022-01-25,3.92,4.55,3.55
E0288,2021-02-02,3.92,4.17,4.66
E0289,2020-08-02,4.03,4.09,2.62
E0290,2020-12-25,4.77,3.93,4.03
E0291,2019-04-16,3.64,4.24,3.85
E0292,2017-12-15,3.9,3.29,4.66
E0293,2017-09-25,4.04,3.75,2.89
E0294,2022-05-07,3.33,4.97,3.62
E0295,2021-08-19,3.54,4.37,4.5
E0296,2016-03-27,4.1,3.42,4.43
E0297,2017-11-20,4.21,3.26,4.25
E0298,2022-08-05,4.57,3.42,4.2
E0299,2017-12-21,3.77,4.35,2.83
E0300,2018-06-14,4.73,4.26,4.6
E0301,2022-09-17,3.57,3.66,4.15
E0302,2018-05-07,3.2,3.78,2.73
E0303,2018-09-10,3.03,4.59,3.88
E0304,2021-01-07,4.55,3.82,4.67
E0305,2017-04-11,4.15,3.96,4.49
E0306,2016-10-29,3.93,4.21,3.56
E0307,2022-03-24,3.85,3.89,4.64
E0308,2019-10-25,4.79,3.56,3.72
E0309,2018-07-17,4.6,3.75,4.27
E0310,2017-12-27,3.5,3.35,4.65
E0311,2017-10-30,3.3,4.28,4.27
E0312,2020-08-20,4.54,4.8,3.54
E0313,2021-06-15,4.28,4.15,4.57
E0314,2018-01-12,3.74,4.49,5
E0315,2020-08-16,4.2,3.61,3.35
E0316,2022-08-18,2.99,3.92,3.87
E0317,2022-08-10,3.67,3.92,4.7
E0318,2021-01-10,4.22,3.14,3.4
E0319,2019-06-28,3.96,4.05,2.8
E0320,2020-04-23,3.36,4.29,3.65
E0321,2021-05-12,4.51,4.41,4.75
E0322,2018-01-29,4.58,4.79,3.05
E0323,2018-06-12,3.53,3.12,3.83
E0324,2020-08-25,3.91,4.37,4.67
E0325,2018-12-08,4.37,4.43,4.03
E0326,2017-04-16,4.43,3.87,4.4
E0327,2022-09-27,3.74,4.36,5
E0328,2022-03-26,3.56,3.15,4.63
E0329,2020-01-27,4.17,4.13,4.41
E0330,2018-04-19,3.04,2.12,4.34
E0331,2018-12-26,3.52,4.19,3.19
E0332,2019-09-15,4.39,4.96,4.59
E0333,2018-10-24,3.15,4.93,4.38
E0334,2017-10-21,3.4,2.4,4.28
E0335,2021-11-17,3.88,4.32,4.04
E0336,2019-01-25,3.85,3.79,3.11
E0337,2019-06-15,3.12,3.98,4.11
E0338,2018-08-06,4.25,2.67,4.88
E0339,2016-08-02,3.49,4.23,3.57
E0340,2022-01-16,3.92,3.68,2.74
E0341,2020-11-09,3.9,4.22,5
E0342,2016-07-31,4.35,3.89,3.61
E0343,2022-02-06,3.97,3.38,4.8
E0344,2016-12-29,3.93,4.2,4.44
E0345,2021-10-09,4.83,4.36,5
E0346,2018-04-13,4.19,4.03,3.97
E0347,2020-11-22,4.31,4.34,3.79
E0348,2019-08-07,4.24,3.72,5
E0349,2018-06-16,4.29,4.77,5
E0350,2016-06-09,4.67,3.79,4.22
E0351,2017-01-28,3.97,3.65,4.12
E0352,2017-12-23,4.12,4.62,4.52
E0353,2022-07-28,4.98,4.67,3.53
E0354,2016-02-27,3.73,4.41,4.35
E0355,2016-12-18,4.65,4.13,3.31
E0356,2021-10-11,3.7,4.96,3.79
E0357,2021-04-21,4.86,3.39,4.56
E0358,2022-03-21,3.67,4.68,3.47
E0359,2018-08-15,3.59,5,4.6
E0360,2016-09-14,4.52,4.03,4.35
E0361,2022-03-03,4.48,4.35,5
E0362,2018-07-16,4.28,4.37,5
E0363,2021-11-13,4.14,4.72,3.6
E0364,2022-08-22,4.12,3.48,4.27
E0365,2016-03-01,5,4.54,5
E0366,2022-07-18,3.28,2.97,4.14
E0367,2020-06-06,3.51,5,3.54
E0368,2021-09-18,3.36,3.66,3.3
E0369,2016-04-01,4.48,3.81,4.98
E0370,2017-02-17,3.88,4.16,5
E0371,2020-10-16,3.93,3.25,3.27
E0372,2021-01-13,4.89,3.84,4.08
E0373,2016-11-22,3.71,4.04,2.9
E0374,2022-02-13,5,3.8,4.05
E0375,2016-10-05,3.3,5,3.78
E0376,2022-11-08,4.66,2.93,3.99
E0377,2017-03-16,4.16,3.94,5
E0378,2021-05-03,3.81,4.71,3.02
E0379,2022-10-05,3.91,3.5,4.3
E0380,2020-03-11,4.67,3.92,5
E0381,2020-05-23,4.85,5,3.57
E0382,2020-09-17,3.16,2.88,3.43
E0383,2017-12-05,5,3.52,4.03
E0384,2016-11-01,5,3.28,4.91
E0385,2018-12-01,3.74,4.38,3.76
E0386,2017-11-08,3.97,3.48,3.28
E0387,2017-06-15,3.67,4.28,4.05
E0388,2021-04-25,3.95,3.61,2.59
E0389,2020-10-17,4.37,3.91,2.97
E0390,2020-05-11,4.05,4.51,4.76
E0391,2021-07-01,4.1,4.08,4.32
E0392,2019-12-02,4.74,2.84,2.48
E0393,2016-11-02,2.9,3.68,4.43
E0394,2017-10-27,3.75,4.43,2.39
E0395,2016-04-07,4.07,5,3.69
E0396,2017-04-15,3.61,3.33,4.21
E0397,2018-12-20,4.53,3.86,3
E0398,2019-01-08,3.78,3.95,4.89
E0399,2022-07-12,3.79,3.56,4.85
E0400,2021-01-06,4.59,3.17,3.53
E0401,2016-02-20,4.42,5,4.78
E0402,2020-06-21,3.92,4.89,4.14
E0403,2018-12-21,3.84,3.16,4.46
E0404,2016-06-29,3.28,2.87,4.47
E0405,2022-12-08,3.65,3.83,3.1
E0406,2016-12-15,5,4.26,2.58
E0407,2020-01-28,3.98,3.92,5
E0408,2022-09-07,4.46,4.68,4.16
E0409,2017-08-12,3.91,3.85,4.26
E0410,2022-09-23,4.3,3.3,3.16
E0411,2019-09-07,3.97,4.91,4.79
E0412,2016-04-26,4.68,3.86,5
E0413,2018-07-22,3.75,3.83,5
E0414,2018-01-01,3.15,3.84,2.58
E0415,2018-09-29,4.45,4.03,3.27
E0416,2022-10-14,3.88,2.61,4.07
E0417,2022-02-24,4.73,4.41,4.49
E0418,2016-12-24,4.06,4.43,3.62
E0419,2018-02-25,4.73,4.38,3.4
E0420,2019-08-14,4.18,3.75,4.16
E0421,2017-11-18,3.83,4.06,3.34
E0422,2022-02-23,4.36,3.14,5
E0423,2021-07-19,3.77,4.22,2.72
E0424,2021-02-26,4.84,3.51,4.36
E0425,2022-06-21,4.07,4.79,2.6
E0426,2021-11-03,2.99,3.44,3.65
E0427,2016-01-01,3.76,2.76,5
E0428,2016-08-16,3.18,4.1,4.79
E0429,2022-04-07,2.91,3.02,3.02
E0430,2016-07-29,4.03,3.44,2.97
E0431,2022-12-23,4.32,4.48,4.04
E0432,2022-05-21,3.62,5,3.33
E0433,2017-07-30,3.34,3.84,4.28
E0434,2017-07-22,3.7,4.58,3.31
E0435,2018-07-26,3.22,3.17,2.87
E0436,2021-07-28,4.35,5,3.7
E0437,2016-03-06,4.29,4,3.14
E0438,2018-11-15,3.2,3.53,4.76
E0439,2016-04-28,3.69,4.24,3.77
E0440,2019-05-20,4.52,3.51,3.97
E0441,2018-10-01,3.92,4.03,4.97
E0442,2019-04-29,4,4.06,5
E0443,2018-05-19,4.21,4.7,3.96
E0444,2021-07-21,4.31,3.66,4.23
E0445,2019-05-28,4.6,3.77,4.92
E0446,2017-06-25,4.39,4.07,3.88
E0447,2019-11-07,3.31,4.54,3.27
E0448,2020-12-26,3.82,5,4.7
E0449,2020-06-10,4.15,4.95,2.93
E0450,2016-04-21,3.95,4.58,3.83
E0451,2020-12-31,2.91,2.86,3.72
E0452,2018-05-04,3.62,4.57,3.63
E0453,2019-05-14,4.51,4.45,2.07
E0454,2017-03-13,4.08,3.58,3.59
E0455,2020-09-08,3.26,3.66,4.89
E0456,2018-05-22,4.11,3.18,3.67
E0457,2020-04-12,3.92,3.99,3.57
E0458,2017-12-20,4.34,4.05,3.53
E0459,2021-08-31,5,2.95,3.39
E0460,2017-07-20,3.24,3.05,4.1
E0461,2020-08-22,3.75,4.1,4.41
E0462,2018-06-03,3.93,3.38,5
E0463,2020-01-14,2.93,3.82,2.9
E0464,2021-08-23,3.98,4.6,4.28
E0465,2022-07-06,3.7,3.74,3.89
E0466,2022-06-20,5,4.08,4.2
E0467,2017-04-22,2.54,4.37,3.28
E0468,2017-06-09,4.74,3.33,4.03
E0469,2016-09-30,4.5,4.75,3.19
E0470,2022-05-22,4.37,4.55,4.46
E0471,2021-05-25,4.07,4.76,3.34
E0472,2017-01-10,3.64,3.74,4.04
E0473,2018-03-08,4.55,3.12,2.51
E0474,2016-04-23,3.56,4.31,4.23
E0475,2019-09-30,4.35,4.37,4.78
E0476,2016-12-01,4.2,5,4.54
E0477,2022-04-29,4.54,5,4.74
E0478,2020-07-10,3.7,3.72,3.05
E0479,2017-12-30,3.71,3.4,3.88
E0480,2021-03-01,4.15,4.37,3.95
E0481,2016-06-17,4.15,5,4.5
E0482,2021-09-27,4.69,3.29,3.88
E0483,2018-06-24,4.24,3.53,3.86
E0484,2020-07-18,4.07,5,5
E0485,2016-11-21,4.42,5,4.76
E0486,2021-12-23,3.73,4.12,2.77
E0487,2020-01-13,4.55,3.03,3.73
E0488,2016-06-21,3.49,3.67,3.31
E0489,2021-06-24,4.17,4.7,5
E0490,2018-11-07,3.15,5,3.65
E0491,2017-10-01,4.12,3.99,4.8
E0492,2017-07-21,3.22,3.62,4.07
E0493,2021-05-23,3.88,4.18,4.08
E0494,2017-11-04,3.12,4.09,4.35
E0495,2018-03-26,3.68,3.45,3.9
E0496,2019-09-03,3.61,4.36,4.58
E0497,2020-12-20,4.28,4.83,4.39
E0498,2017-04-01,3.71,4.01,2.82
E0499,2018-03-19,3.62,4.38,3.61
E0500,2018-10-21,4.61,4.15,3.63
